id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso,rnf_relacionado,justificacion
1861,2025-05-11,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Quito,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Doble agendamiento de un mismo cupo que genera sobreventa de citas, colapso de agenda de especialistas y multas o insatisfacción comercial."
1862,2025-05-12,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1863,2025-05-13,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Farmacia que impide al usuario completar sus tareas de manera precisa y completa.
1864,2025-05-14,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Ambato,Libertad de Riesgo,RNF-03 (Errores de Facturación),El no reconocimiento de convenios de aseguradoras genera fricción de cobro y riesgo de pérdidas económicas por servicios no cubiertos correctamente.
1865,2025-05-15,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1866,2025-05-16,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,Satisfacción,RNF-05 (Disponibilidad de llamada),Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
1867,2025-05-17,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Doble agendamiento de un mismo cupo que genera sobreventa de citas, colapso de agenda de especialistas y multas o insatisfacción comercial."
1868,2025-05-18,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1869,2025-05-19,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1870,2025-05-20,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Manta,Satisfacción,RNF-02 (Pasos del Portal),"Diseño de interfaz de usuario confuso que provoca el abandono del registro, afectando la métrica de satisfacción y facilidad de uso percibida."
1871,2025-05-21,Telemedicina,Grabacion de la consulta no se almacena correctamente,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1872,2025-05-22,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1873,2025-05-23,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Farmacia,Cuenca,Libertad de Riesgo,Seguridad Clínica,"Error en el registro de medicamentos regulados, lo que genera riesgos legales, regulatorios y de seguridad en el control de sustancias psicotrópicas."
1874,2025-05-24,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Ambato,Cobertura de Contexto,Flexibilidad de Dispositivo,El sistema presenta limitaciones de portabilidad y compatibilidad al operar en el contexto físico específico de tablets para adjuntar imágenes de heridas.
1875,2025-05-25,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Tecnico Laboratorio,Manta,Efectividad,Integración de Datos,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1876,2025-05-26,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1877,2025-05-27,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1878,2025-05-28,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1879,2025-05-29,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1880,2025-05-30,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1881,2025-05-31,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1882,2025-06-01,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1883,2025-06-02,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Cuenca,Cobertura de Contexto,Flexibilidad de Dispositivo,El sistema presenta limitaciones de portabilidad y compatibilidad al operar en el contexto físico específico de tablets para adjuntar imágenes de heridas.
1884,2025-06-03,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Ambato,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1885,2025-06-04,Telemedicina,Videollamada se corta a los 4 minutos,Paciente,Manta,Cobertura de Contexto,RNF-05 (Disponibilidad de llamada),"Falta de resiliencia del canal de comunicación ante variaciones en la conectividad del usuario, interrumpiendo la sesión de teleconsulta en producción."
1886,2025-06-05,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Quito,Libertad de Riesgo,RNF-03 (Errores de Facturación),Inconsistencia financiera en los cobros o transacciones del sistema que infringe las normativas contables y expone al hospital a pérdidas económicas.
1887,2025-06-06,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Paciente,Guayaquil,Cobertura de Contexto,Portabilidad,"Falla de adaptabilidad de la interfaz en el contexto de dispositivos móviles, impidiendo confirmar citas desde pantallas de formatos pequeños."
1888,2025-06-07,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Cuenca,Satisfacción,RNF-02 (Pasos del Portal),"Incapacidad del usuario de lograr su meta tras múltiples intentos, violando el RNF-02 y provocando un alto nivel de frustración."
1889,2025-06-08,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Tecnico Laboratorio,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Laboratorio que impide al usuario completar sus tareas de manera precisa y completa.
1890,2025-06-09,HCE,Nota de evolucion tarda 19s en guardarse,Medico,Manta,Eficiencia,RNF-01 (Latencia HCE),"El tiempo de guardado supera los 8 segundos tolerables, violando directamente el requerimiento no funcional RNF-01 de rendimiento del sistema para notas clínicas."
1891,2025-06-10,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
1892,2025-06-11,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1893,2025-06-12,Reportes Gerenciales,Exportacion a Excel del reporte gerencial falla de forma intermitente,Gerencia,Cuenca,Efectividad,Funcionalidad,Falla intermitente en las exportaciones o ejecuciones de procesos del sistema que reduce la fiabilidad de las operaciones.
1894,2025-06-13,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Ambato,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1895,2025-06-14,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Manta,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1896,2025-06-15,Telemedicina,Grabacion de la consulta no se almacena correctamente,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1897,2025-06-16,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
1898,2025-06-17,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Cuenca,Satisfacción,RNF-02 (Pasos del Portal),"Incapacidad del usuario de lograr su meta tras múltiples intentos, violando el RNF-02 y provocando un alto nivel de frustración."
1899,2025-06-18,Reportes Gerenciales,Exportacion a Excel del reporte gerencial falla de forma intermitente,Gerencia,Ambato,Efectividad,Funcionalidad,Falla intermitente en las exportaciones o ejecuciones de procesos del sistema que reduce la fiabilidad de las operaciones.
1900,2025-06-19,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Manta,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
1901,2025-06-20,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Quito,Efectividad,Funcionalidad,"Interrupción abrupta del sistema que impide que el usuario termine el registro de datos, reduciendo la efectividad operativa."
1902,2025-06-21,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1903,2025-06-22,Reportes Gerenciales,El dashboard de indicadores no refleja los datos del ultimo cierre,Gerencia,Cuenca,Efectividad,Funcionalidad,Inconsistencia en la actualización de datos que impide la visualización correcta de información operativa reciente.
1904,2025-06-23,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Farmacia que impide al usuario completar sus tareas de manera precisa y completa.
1905,2025-06-24,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Fallas en la aplicación de notas de crédito o reembolsos que distorsionan los estados de cuenta, arriesgando multas tributarias e inconformidad legal."
1906,2025-06-25,Reportes Gerenciales,Tiempo de generacion del reporte mensual supera los 12 minutos,Gerencia,Quito,Eficiencia,Eficiencia Operativa,"Demoras severas en la generación de reportes mensuales de inteligencia de negocio, penalizando la eficiencia en el tiempo de procesamiento y toma de decisiones."
1907,2025-06-26,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Doble agendamiento de un mismo cupo que genera sobreventa de citas, colapso de agenda de especialistas y multas o insatisfacción comercial."
1908,2025-06-27,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Cuenca,Satisfacción,RNF-05 (Disponibilidad de llamada),Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
1909,2025-06-28,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1910,2025-06-29,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Manta,Satisfacción,RNF-02 (Pasos del Portal),"Incapacidad del usuario de lograr su meta tras múltiples intentos, violando el RNF-02 y provocando un alto nivel de frustración."
1911,2025-06-30,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1912,2025-07-01,HCE,Nota de evolucion tarda 21s en guardarse,Medico,Guayaquil,Eficiencia,RNF-01 (Latencia HCE),"El tiempo de guardado supera los 8 segundos tolerables, violando directamente el requerimiento no funcional RNF-01 de rendimiento del sistema para notas clínicas."
1913,2025-07-02,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Tecnico Laboratorio,Cuenca,Efectividad,Integración de Datos,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1914,2025-07-03,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Ambato,Satisfacción,Usabilidad,La inestabilidad en el inicio biométrico genera frustración y reduce la confianza y comodidad del usuario al acceder al aplicativo móvil.
1915,2025-07-04,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Fallas en la aplicación de notas de crédito o reembolsos que distorsionan los estados de cuenta, arriesgando multas tributarias e inconformidad legal."
1916,2025-07-05,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1917,2025-07-06,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),Inconsistencia financiera en los cobros o transacciones del sistema que infringe las normativas contables y expone al hospital a pérdidas económicas.
1918,2025-07-07,Farmacia,El sistema bloquea la dispensacion sin mostrar el motivo,Farmacia,Cuenca,Satisfacción,Usabilidad,La falta de mensajes informativos claros y feedback del sistema incrementa la incertidumbre y frustración del operario farmacéutico.
1919,2025-07-08,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Radiologo,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1920,2025-07-09,HCE,Tiempo de carga de la ficha clinica supera los 14s en horas pico,Medico,Manta,Eficiencia,Eficiencia Operativa,La latencia en horas pico para abrir la ficha clínica perjudica la productividad del médico durante la consulta.
1921,2025-07-10,HCE,Tiempo de carga de la ficha clinica supera los 26s en horas pico,Medico,Quito,Eficiencia,Eficiencia Operativa,La latencia en horas pico para abrir la ficha clínica perjudica la productividad del médico durante la consulta.
1922,2025-07-11,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Tecnico Laboratorio,Guayaquil,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1923,2025-07-12,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1924,2025-07-13,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Farmacia que impide al usuario completar sus tareas de manera precisa y completa.
1925,2025-07-14,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Manta,Efectividad,Funcionalidad,"Interrupción abrupta del sistema que impide que el usuario termine el registro de datos, reduciendo la efectividad operativa."
1926,2025-07-15,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1927,2025-07-16,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Tecnico Laboratorio,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Laboratorio que impide al usuario completar sus tareas de manera precisa y completa.
1928,2025-07-17,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
1929,2025-07-18,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1930,2025-07-19,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Paciente,Manta,Cobertura de Contexto,Portabilidad,"Falla de adaptabilidad de la interfaz en el contexto de dispositivos móviles, impidiendo confirmar citas desde pantallas de formatos pequeños."
1931,2025-07-20,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1932,2025-07-21,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 34s,Farmacia,Guayaquil,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1933,2025-07-22,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Cuenca,Satisfacción,RNF-05 (Disponibilidad de llamada),Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
1934,2025-07-23,Telemedicina,Grabacion de la consulta no se almacena correctamente,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1935,2025-07-24,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Manta,Satisfacción,Usabilidad,La inestabilidad en el inicio biométrico genera frustración y reduce la confianza y comodidad del usuario al acceder al aplicativo móvil.
1936,2025-07-25,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1937,2025-07-26,Facturacion,Error de calculo en el copago del seguro medico,Admision,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1938,2025-07-27,Facturacion,Retraso de 21s al procesar el pago con tarjeta de credito,Admision,Cuenca,Eficiencia,Eficiencia Operativa,El procesamiento lento del cobro con tarjeta retrasa el flujo de caja y la atención administrativa de admisión.
1939,2025-07-28,HCE,Tiempo de carga de la ficha clinica supera los 14s en horas pico,Medico,Ambato,Eficiencia,Eficiencia Operativa,La latencia en horas pico para abrir la ficha clínica perjudica la productividad del médico durante la consulta.
1940,2025-07-29,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1941,2025-07-30,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,El fallo en el despliegue de alertas de interacción farmacológica pone en riesgo inminente la salud del paciente ante combinaciones letales.
1942,2025-07-31,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Guayaquil,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1943,2025-08-01,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Cuenca,Satisfacción,RNF-05 (Disponibilidad de llamada),Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
1944,2025-08-02,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Ambato,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1945,2025-08-03,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1946,2025-08-04,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1947,2025-08-05,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1948,2025-08-06,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1949,2025-08-07,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Ambato,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
1950,2025-08-08,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),Inconsistencia financiera en los cobros o transacciones del sistema que infringe las normativas contables y expone al hospital a pérdidas económicas.
1951,2025-08-09,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Quito,Efectividad,Funcionalidad,"Interrupción abrupta del sistema que impide que el usuario termine el registro de datos, reduciendo la efectividad operativa."
1952,2025-08-10,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Tecnico Laboratorio,Guayaquil,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1953,2025-08-11,Portal Citas,Tiempo de espera en el portal supera los 24s en horas pico,Paciente,Cuenca,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1954,2025-08-12,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Tecnico Laboratorio,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Laboratorio que impide al usuario completar sus tareas de manera precisa y completa.
1955,2025-08-13,Telemedicina,Notificacion de inicio de teleconsulta llega con retraso de 25s,Paciente,Manta,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1956,2025-08-14,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1957,2025-08-15,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Guayaquil,Satisfacción,Usabilidad,La inestabilidad en el inicio biométrico genera frustración y reduce la confianza y comodidad del usuario al acceder al aplicativo móvil.
1958,2025-08-16,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Cuenca,Cobertura de Contexto,Flexibilidad de Dispositivo,El sistema presenta limitaciones de portabilidad y compatibilidad al operar en el contexto físico específico de tablets para adjuntar imágenes de heridas.
1959,2025-08-17,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Ambato,Satisfacción,RNF-05 (Disponibilidad de llamada),Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
1960,2025-08-18,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Radiologo,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1961,2025-08-19,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1962,2025-08-20,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1963,2025-08-21,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Cuenca,Libertad de Riesgo,Seguridad Clínica,Omitir la alerta de vencimiento de lotes farmacéuticos puede llevar a la administración de medicamentos caducados a los pacientes.
1964,2025-08-22,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Tecnico Laboratorio,Ambato,Efectividad,Integración de Datos,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1965,2025-08-23,Telemedicina,Notificacion de inicio de teleconsulta llega con retraso de 12s,Paciente,Manta,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1966,2025-08-24,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Quito,Efectividad,Funcionalidad,Falla funcional que impide completar la tarea de confirmación de cita al paciente por canal de correo electrónico.
1967,2025-08-25,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1968,2025-08-26,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Admision,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1969,2025-08-27,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Ambato,Satisfacción,RNF-02 (Pasos del Portal),"Diseño de interfaz de usuario confuso que provoca el abandono del registro, afectando la métrica de satisfacción y facilidad de uso percibida."
1970,2025-08-28,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1971,2025-08-29,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1972,2025-08-30,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1973,2025-08-31,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Cuenca,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Fallas en la aplicación de notas de crédito o reembolsos que distorsionan los estados de cuenta, arriesgando multas tributarias e inconformidad legal."
1974,2025-09-01,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Ambato,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
1975,2025-09-02,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Tecnico Laboratorio,Manta,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1976,2025-09-03,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Quito,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1977,2025-09-04,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Radiologo,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1978,2025-09-05,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Cuenca,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1979,2025-09-06,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Ambato,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
